label,event_year,n_pre,n_post,mean_pre,mean_post,diff,t,p
"abortion @ Dobbs (2022, REAL)",2022,32,2,0.33437576371112504,0.28107810408840517,-0.05329765962271987,-5.600366583041348,0.010299356178590072
"police_violence @ BLM (2020, REAL)",2020,27,3,0.246155565097676,0.3101283417803714,0.06397277668269541,8.228564653799028,6.784295985008099e-4
"gender_roles @ 2022 (PLACEBO, matches abortion threshold)",2022,27,2,0.23168098487856348,0.17242290694712675,-0.059258077931436726,-2.229990319297611,0.06737764135940197
"gender_roles @ 2020 (PLACEBO, matches police_violence threshold)",2020,26,3,0.23580574595056036,0.15642767030029922,-0.07937807565026114,-2.8170383487117867,0.01971142386852371
"abortion @ 2000 (PLACEBO, arbitrary/no known shock)",2000,21,13,0.3182471443128776,0.35223004741249087,0.03398290309961327,2.6858349920984517,0.014232688356723177
"police_violence @ 2000 (PLACEBO, arbitrary/no known shock)",2000,17,13,0.2324974987983001,0.27877906180055884,0.046281563002258747,6.003538567055031,2.321140077872541e-5
