model,issue,variable,sd_across_years,is_temporally_constant
deepseek_v3_0324,police_violence,polescap,0.4440668894421768,FALSE
deepseek_v3_0324,police_violence,polhitok,0,TRUE
deepseek_v3_0324,police_violence,polmurdr,0.10148325268098496,FALSE
deepseek_v3_0324,suicide,letdie1,0.038490017945975084,FALSE
deepseek_v3_0324,suicide,suicide1,0,TRUE
gemini25_lite,abortion,abany,0.38533780203203116,FALSE
gemini25_lite,abortion,abdefect,0,TRUE
gemini25_lite,abortion,abhlth,0,TRUE
gemini25_lite,abortion,abnomore,0.3379712989744561,FALSE
gemini25_lite,abortion,abpoor,0.2142432688630368,FALSE
gemini25_lite,abortion,abrape,0.03429971702850175,FALSE
gemini25_lite,abortion,absingle,0.3740704462427205,FALSE
gemini25_lite,gender_roles,fechld,0.583778298199989,FALSE
gemini25_lite,gender_roles,fefam,0.43705204810597,FALSE
gemini25_lite,gender_roles,fepol,0.4383712036269172,FALSE
gemini25_lite,gender_roles,fepresch,0.5777893904444291,FALSE
gemini25_lite,police_violence,polattak,0,TRUE
gemini25_lite,police_violence,polescap,0.2558735319797968,FALSE
gemini25_lite,police_violence,polhitok,0,TRUE
gemini25_lite,police_violence,polmurdr,0.39543370631744834,FALSE
gemini25_lite,suicide,letdie1,0.41878946427126773,FALSE
gemini25_lite,suicide,suicide1,0.4414428557263045,FALSE
gemini_3_flash,abortion,abany,0.26504019585474053,FALSE
gemini_3_flash,abortion,abdefect,0,TRUE
gemini_3_flash,abortion,abhlth,0,TRUE
gemini_3_flash,abortion,abnomore,0.31214284403172515,FALSE
gemini_3_flash,abortion,abpoor,0.4238857680850191,FALSE
gemini_3_flash,abortion,abrape,0,TRUE
gemini_3_flash,abortion,absingle,0.3733072310712096,FALSE
gemini_3_flash,gender_roles,fechld,0.5274356887783586,FALSE
gemini_3_flash,gender_roles,fefam,0.5038978502417538,FALSE
gemini_3_flash,gender_roles,fepol,0.49606920493481155,FALSE
gemini_3_flash,gender_roles,fepresch,0.5089773777040514,FALSE
gemini_3_flash,police_violence,polattak,0,TRUE
gemini_3_flash,police_violence,polescap,0,TRUE
gemini_3_flash,police_violence,polhitok,0,TRUE
gemini_3_flash,police_violence,polmurdr,0,TRUE
gemini_3_flash,suicide,letdie1,0,TRUE
gemini_3_flash,suicide,suicide1,0.30884399845976523,FALSE
gemma4_31b,abortion,abany,0.44875306165510187,FALSE
gemma4_31b,abortion,abdefect,0,TRUE
gemma4_31b,abortion,abhlth,0,TRUE
gemma4_31b,abortion,abnomore,0,TRUE
gemma4_31b,abortion,abpoor,0,TRUE
gemma4_31b,abortion,abrape,0,TRUE
gemma4_31b,abortion,absingle,0,TRUE
gemma4_31b,gender_roles,fechld,0.274584823682638,FALSE
gemma4_31b,gender_roles,fefam,0,TRUE
gemma4_31b,gender_roles,fepol,0,TRUE
gemma4_31b,gender_roles,fepresch,0.14433756729740643,FALSE
gemma4_31b,police_violence,polattak,0,TRUE
gemma4_31b,police_violence,polescap,0,TRUE
gemma4_31b,police_violence,polhitok,0,TRUE
gemma4_31b,police_violence,polmurdr,0.046423834544262965,FALSE
gemma4_31b,suicide,letdie1,0.3663475485325232,FALSE
gemma4_31b,suicide,suicide1,0.33442130141126897,FALSE
glm_4_6,abortion,abany,0.40937780544405133,FALSE
glm_4_6,abortion,abdefect,0,TRUE
glm_4_6,abortion,abhlth,0,TRUE
glm_4_6,abortion,abnomore,0.47881866169673243,FALSE
glm_4_6,abortion,abpoor,0.35204087856778815,FALSE
glm_4_6,abortion,abrape,0,TRUE
glm_4_6,abortion,absingle,0.37875243235908224,FALSE
glm_4_6,gender_roles,fechld,0.2719528145346787,FALSE
glm_4_6,gender_roles,fefam,0.8547549710917512,FALSE
glm_4_6,gender_roles,fepol,0.3509441048171095,FALSE
glm_4_6,gender_roles,fepresch,0.5427662831230752,FALSE
glm_4_6,police_violence,polattak,0,TRUE
glm_4_6,police_violence,polescap,0.23848669119240576,FALSE
glm_4_6,police_violence,polhitok,0,TRUE
glm_4_6,police_violence,polmurdr,0.44299374502586947,FALSE
glm_4_6,suicide,letdie1,0,TRUE
glm_4_6,suicide,suicide1,0.2294157338705617,FALSE
gpt4o_mini,abortion,abany,0,TRUE
gpt4o_mini,abortion,abdefect,0,TRUE
gpt4o_mini,abortion,abhlth,0,TRUE
gpt4o_mini,abortion,abnomore,0,TRUE
gpt4o_mini,abortion,abpoor,0,TRUE
gpt4o_mini,abortion,abrape,0,TRUE
gpt4o_mini,abortion,absingle,0,TRUE
gpt4o_mini,gender_roles,fechld,0.04082482904638626,FALSE
gpt4o_mini,gender_roles,fefam,0.5625382434664499,FALSE
gpt4o_mini,gender_roles,fepol,0.4356470587394798,FALSE
gpt4o_mini,gender_roles,fepresch,0.10733936430981311,FALSE
gpt4o_mini,police_violence,polattak,0,TRUE
gpt4o_mini,police_violence,polescap,0,TRUE
gpt4o_mini,police_violence,polhitok,0,TRUE
gpt4o_mini,police_violence,polmurdr,0,TRUE
gpt4o_mini,suicide,letdie1,0.038490017945975084,FALSE
gpt4o_mini,suicide,suicide1,0,TRUE
gpt5,abortion,abany,0.38698022505197965,FALSE
gpt5,abortion,abdefect,0,TRUE
gpt5,abortion,abhlth,0,TRUE
gpt5,abortion,abnomore,0.03429971702850175,FALSE
gpt5,abortion,abpoor,0.0871411664352764,FALSE
gpt5,abortion,abrape,0,TRUE
gpt5,abortion,absingle,0.28309468821499256,FALSE
gpt5,gender_roles,fechld,0.3897230529119551,FALSE
gpt5,gender_roles,fefam,0.5742670186382395,FALSE
gpt5,gender_roles,fepol,0.4054522590780994,FALSE
gpt5,gender_roles,fepresch,0.4968742878948503,FALSE
gpt5,police_violence,polattak,0,TRUE
gpt5,police_violence,polescap,0.3224190177215137,FALSE
gpt5,police_violence,polhitok,0,TRUE
gpt5,police_violence,polmurdr,0,TRUE
gpt5,suicide,letdie1,0,TRUE
gpt5,suicide,suicide1,0.12030350981137028,FALSE
gpt5_mini,abortion,abany,0.1055130557140128,FALSE
gpt5_mini,abortion,abdefect,0,TRUE
gpt5_mini,abortion,abhlth,0,TRUE
gpt5_mini,abortion,abnomore,0.03429971702850175,FALSE
gpt5_mini,abortion,abpoor,0,TRUE
gpt5_mini,abortion,abrape,0,TRUE
gpt5_mini,abortion,absingle,0,TRUE
gpt5_mini,gender_roles,fechld,0.38972305291195514,FALSE
gpt5_mini,gender_roles,fefam,0.49343516379516905,FALSE
gpt5_mini,gender_roles,fepol,0,TRUE
gpt5_mini,gender_roles,fepresch,0.3484957322010111,FALSE
gpt5_mini,police_violence,polattak,0,TRUE
gpt5_mini,police_violence,polescap,0.18888663510036977,FALSE
gpt5_mini,police_violence,polhitok,0.03651483716701106,FALSE
gpt5_mini,police_violence,polmurdr,0,TRUE
gpt5_mini,suicide,letdie1,0.3624858775125058,FALSE
gpt5_mini,suicide,suicide1,0.3389274182945293,FALSE
gpt_oss_120b,abortion,abany,0.03713906763541038,FALSE
gpt_oss_120b,abortion,abdefect,0.0654069940167729,FALSE
gpt_oss_120b,abortion,abhlth,0,TRUE
gpt_oss_120b,abortion,abnomore,0.20476171969836643,FALSE
gpt_oss_120b,abortion,abpoor,0.1258128650232066,FALSE
gpt_oss_120b,abortion,abrape,0.08714116643527642,FALSE
gpt_oss_120b,abortion,absingle,0.3788057036804222,FALSE
gpt_oss_120b,gender_roles,fechld,0.2917960375608823,FALSE
gpt_oss_120b,gender_roles,fefam,0.5595028849441884,FALSE
gpt_oss_120b,gender_roles,fepol,0.449985302523063,FALSE
gpt_oss_120b,gender_roles,fepresch,0.4808657651132705,FALSE
gpt_oss_120b,police_violence,polattak,0.2523453207799587,FALSE
gpt_oss_120b,police_violence,polescap,0.2313379376135924,FALSE
gpt_oss_120b,police_violence,polhitok,0.12429109325317308,FALSE
gpt_oss_120b,police_violence,polmurdr,0,TRUE
gpt_oss_120b,suicide,letdie1,0.3777274979109446,FALSE
gpt_oss_120b,suicide,suicide1,0.4496278930018044,FALSE
grok_4_3,abortion,abany,0.21723746966534335,FALSE
grok_4_3,abortion,abdefect,0,TRUE
grok_4_3,abortion,abhlth,0,TRUE
grok_4_3,abortion,abnomore,0.19622098205031857,FALSE
grok_4_3,abortion,abpoor,0.15581423191194757,FALSE
grok_4_3,abortion,abrape,0,TRUE
grok_4_3,abortion,absingle,0.1857681456051296,FALSE
