issue,year,mean_gap,nyt
abortion,1972,0.2871626702612913,7.643312101910828
abortion,1973,0.26416603869542993,0.6369426751592357
abortion,1974,0.2625301550142531,2.388535031847134
abortion,1975,0.2839515255618261,0.11942675159235668
abortion,1976,0.2836186063010722,14.132165605095542
abortion,1977,0.291670036716324,5.135350318471338
abortion,1978,0.32208269820365903,2.428343949044586
abortion,1980,0.3187180246961203,0.3980891719745223
abortion,1982,0.3168786213286438,8.39968152866242
abortion,1983,0.3510154795334158,0
abortion,1984,0.33204449165680194,19.506369426751593
abortion,1985,0.3377373505030084,8.359872611464967
abortion,1987,0.3541860585726246,8.678343949044585
abortion,1988,0.34160544955979727,10.390127388535031
abortion,1989,0.3241397985550309,28.423566878980893
abortion,1990,0.3259911325123859,29.578025477707005
abortion,1991,0.325757171554052,20.74044585987261
abortion,1993,0.3337388113898768,25.278662420382165
abortion,1994,0.3214515910536034,26.43312101910828
abortion,1996,0.3379937236699679,36.06687898089172
abortion,1998,0.3667505952312453,27.826433121019107
abortion,2000,0.37334417085260385,43.03343949044586
abortion,2002,0.35379770627582496,14.490445859872612
abortion,2004,0.38941542556214515,29.14012738853503
abortion,2006,0.3804205557753079,53.14490445859873
abortion,2008,0.3872692775948842,37.30095541401274
abortion,2010,0.3658103777923043,15.56528662420382
abortion,2012,0.38352300311291565,30.772292993630572
abortion,2014,0.3741757633873038,13.574840764331212
abortion,2016,0.3667128989852219,20.063694267515924
abortion,2018,0.3424022829579352,23.44745222929936
abortion,2021,0.2999629458891239,25.995222929936308
abortion,2022,0.27394044819189023,100
abortion,2024,0.28821575998492016,93.67038216560508
gender_roles,1974,0.4382130763219589,18.412698412698415
gender_roles,1975,0.45626312106368094,22.857142857142858
gender_roles,1977,0.20975561508723342,20.317460317460316
gender_roles,1978,0.4589051275699777,24.444444444444443
gender_roles,1982,0.444047619047619,20.952380952380953
gender_roles,1983,0.4432940148536479,21.58730158730159
gender_roles,1985,0.2148077410494998,19.047619047619047
gender_roles,1986,0.21700982901721486,37.46031746031746
gender_roles,1988,0.2079231851038621,31.746031746031743
gender_roles,1989,0.2202920233675665,28.57142857142857
gender_roles,1990,0.19795972138473863,37.142857142857146
gender_roles,1991,0.18852516779886455,34.6031746031746
gender_roles,1993,0.20429582812655964,41.58730158730159
gender_roles,1994,0.17307712981477183,48.25396825396825
gender_roles,1996,0.18129242730846515,31.428571428571427
gender_roles,1998,0.18002572599567138,40
gender_roles,2000,0.18921218887156374,42.857142857142854
gender_roles,2002,0.18084927155298514,35.55555555555556
gender_roles,2004,0.19385699240329252,30.47619047619048
gender_roles,2006,0.17723600122269717,67.93650793650794
gender_roles,2008,0.17979490328516776,57.460317460317455
gender_roles,2010,0.16067387792950766,40
gender_roles,2012,0.1697857555019235,42.22222222222222
gender_roles,2014,0.1533816066065057,59.68253968253968
gender_roles,2016,0.15815557091178079,83.4920634920635
gender_roles,2018,0.13231587351781327,100
gender_roles,2021,0.1244371970066441,76.5079365079365
gender_roles,2022,0.1558084462455461,64.12698412698413
gender_roles,2024,0.18903736764870743,60.95238095238096
police_violence,1973,0.21993379366671423,3.043170559094126
police_violence,1975,0.21798822177440597,2.689313517338995
police_violence,1976,0.22792841695629137,0.7077140835102618
police_violence,1978,0.23746508439754446,3.750884642604388
police_violence,1980,0.24918826295772945,1.840056617126681
police_violence,1983,0.2297083108698761,6.652512384996462
police_violence,1984,0.2347324502429879,2.264685067232838
police_violence,1986,0.23365986526968988,3.680113234253362
police_violence,1987,0.22887257103634956,5.874026893135174
police_violence,1988,0.23243955287622545,6.227883934890304
police_violence,1989,0.2241789100008341,9.554140127388536
police_violence,1990,0.2403960463769597,5.166312809624912
police_violence,1991,0.2427484373007008,12.526539278131636
police_violence,1993,0.22417452280446296,7.784854918612881
police_violence,1994,0.21515826404438446,6.510969568294408
police_violence,1996,0.2390953869981163,7.218683651804671
police_violence,1998,0.2547893819978288,13.658881811748053
police_violence,2000,0.23115154320576953,14.08351026185421
police_violence,2002,0.24640909333070024,5.7324840764331215
police_violence,2004,0.2610161008511455,4.7416843595187546
police_violence,2006,0.26097078955077935,14.64968152866242
police_violence,2008,0.2611875019119143,9.129511677282377
police_violence,2010,0.28877514942162336,5.874026893135174
police_violence,2012,0.28407561554085486,5.237084217975937
police_violence,2014,0.2792372381038344,13.305024769992924
police_violence,2016,0.27714873576935783,17.62208067940552
police_violence,2018,0.3037710103801714,17.905166312809627
police_violence,2021,0.3171655754021337,39.41967445152159
police_violence,2022,0.3156634585219325,15.78202406227884
police_violence,2024,0.297555991417048,10.828025477707008
suicide,1977,0.4010721913128985,6.153846153846154
suicide,1978,0.40664587828451515,1.0256410256410255
suicide,1982,0.4077835385800477,0
suicide,1983,0.3766728314154723,5.641025641025641
suicide,1985,0.39104074902639374,9.7435897435897445
suicide,1986,0.38293578408407514,7.6923076923076925
suicide,1988,0.38856449464609816,12.307692307692308
suicide,1989,0.4008526201116076,2.051282051282051
suicide,1990,0.37117670588419477,15.384615384615383
suicide,1991,0.3571765177114329,26.153846153846157
suicide,1993,0.3581124736947114,55.8974358974359
suicide,1994,0.3149915016139732,53.333333333333336
suicide,1996,0.3238537231046448,90.76923076923076
suicide,1998,0.2959686723375698,62.05128205128205
suicide,2000,0.3534839924670433,34.35897435897436
suicide,2002,0.3433258650362854,49.23076923076923
suicide,2004,0.32805267227442064,35.8974358974359
suicide,2006,0.3299962855657083,88.2051282051282
suicide,2008,0.3451584912311425,70.76923076923077
suicide,2010,0.3397839673426366,23.589743589743588
suicide,2012,0.3490608241845664,26.666666666666668
suicide,2014,0.32456624221658364,33.84615384615385
suicide,2016,0.27956011772237777,31.794871794871792
suicide,2018,0.30421044108418854,33.33333333333333
suicide,2021,0.2697719695981756,31.28205128205128
suicide,2022,0.25178537501957304,31.794871794871792
suicide,2024,0.3122171212530381,32.82051282051282
