effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.7805722158369449,0.21648598648519032,3.6056477766072095,24.232440697764638,0.0014019966233885625
fixed,NA,dist_c,0.016978423920304696,0.007781810925935391,2.1818088465396444,23.00258698421549,0.03959637998357089
fixed,NA,sal_c,2.0505070598214787e-4,9.956559643968498e-5,2.0594533987084973,11976.042456780304,0.03947239174666541
fixed,NA,gss_mode_regimeweb_2021,-0.008732794853049005,0.006736289698471466,-1.2963805364591976,11962.428807462617,0.19486942223735376
fixed,NA,gss_mode_regimemultimode_bridge,0.00890954149850944,0.006116154357988722,1.4567227994944383,11962.526739162562,0.1452191599877504
fixed,NA,wording_change_flag,-0.10077177653752299,0.008622477542990774,-11.687102231938027,11955.99355554605,2.197474611519386e-31
fixed,NA,maturation_time,-0.017408809734508042,0.007780852953074535,-2.2373909183862812,22.991242420287822,0.035245309533631794
fixed,NA,dist_c:sal_c,5.217832472323277e-5,4.423878131375588e-6,11.79470210835309,11966.047905278909,6.244510835682753e-32
ran_pars,model,sd__(Intercept),0.026029586491754447,NA,NA,NA,NA
ran_pars,variable,sd__(Intercept),0.14535487915487602,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.12732245400637354,NA,NA,NA,NA
